・・・	|-`).｡oO(・・・)	顔文字
・・・	|∀・).｡oO(・・・)	顔文字
・・・	(´-｀).｡ｏO(・・・・・・・・・)	顔文字
ぁぃ	(ﾟДﾟ)ﾉ ｧｨ	顔文字
ぃょぅ	(=ﾟωﾟ)ﾉぃょぅ	顔文字
ぃょぅ	( ・∀・)ﾉｨｮ-ｩ	顔文字
ぃょぅ	( ﾟ∀ﾟ)ﾉｨｮ—ｩ	顔文字
ぃょぅ	(　´�｀)ﾉｨｮ—ｩ	顔文字
っぱ	(・ω・)ﾉ■ ｯﾊﾟ	顔文字
っぱ	(・ω・)ﾉ■　いっしょにおかしをたべませんか？	顔文字
あっ	(;ﾟдﾟ)ｱｯ....	顔文字
あっそ	(´ι _｀　)ｱｯｿ	顔文字
あっそー	冫、 　	顔文字
あったかーい	(*´∀｀*)ｱｯﾀｶｰｲ	顔文字
あっちいけ	ｱｯﾁ(・∀・)ｲｹ!!	顔文字
あーあー	(∩ ﾟдﾟ)アーアーきこえなーい	顔文字
あーみん	(　´-｀)†あーみん。	顔文字
あーめん	・・・(,,ﾟДﾟ)†	顔文字
あーろん	( ﾒ∀・)	顔文字
あいーん	(＿´Д｀) ｱｲｰﾝ	顔文字
あいごー	<丶｀Д´>ｱｲｺﾞｰ	顔文字
あいよー	凸=3 ｱｲﾖｰ	顔文字
あうっ	Σ(・Д・ﾉ)ﾉ ｱｳｯ	顔文字
あうっ	Σ(｀∀´ﾉ)ﾉ ｱｳｯ	顔文字
あうー	( ﾟρﾟ )ｱｩｰ	顔文字
あうあ	ヽ(´Д`；)ﾉｱｩｱ...	顔文字
あうあうあー	(_Д_)ｱｳｱｳｱｰ	顔文字
あうあうあー	( _。д゜)ｱｳｱｳｱｰ	顔文字
あうと	⊂ミ⊃＾ω＾ ）⊃　ｱｳｱｳ!!	顔文字
あきたよ	(　ﾟдﾟ)ｱｷﾀﾖ…	顔文字
あげ	∩ﾟ∀ﾟ∩age	顔文字
あげ	(´∀｀∩)↑age↑	顔文字
あさぴー	(-@∀@)	顔文字
あさぴー	ヽ(-@∀@)ﾉ ﾃﾞｯﾁage	顔文字
あせ	(；´∀｀)	顔文字
あせ	(；・∀・)	顔文字
あせ	(；´Д｀)	顔文字
あせ	(；ﾟДﾟ)	顔文字
あせ	（；^ω^）	顔文字
あたふた	ｱﾀヽ(д｀ヽ彡ノ´д)ノﾌﾀ	顔文字
あたま	∧＿∧	顔文字
あちゃー	(ﾉ∀｀)ｱﾁｬｰ	顔文字
あちゃー	( ´ﾟдﾟ｀)ｱﾁｬｰ	顔文字
あちー	(；´д｀)ゞ ｱﾁｨｰ!!	顔文字
あつー	(ﾟAﾟ;)ｱﾂｰ	顔文字
あつー	(υ´Д｀)ｱﾂｰ	顔文字
あつい	ι(´Д｀υ)ｱﾂｨｰ	顔文字
あとちょっとやん	ｱﾄﾁｮﾄ(　ﾟдﾟ)ﾔﾝ	顔文字
あなるー	(ﾟ＊ﾟ)ｱﾅﾙｰ	顔文字
あなるー	ヽ(・＊・)ﾉｱﾅﾙｰ	顔文字
あにじゃ	（　´_ゝ`）	顔文字
あはぁ	(*´д｀*)ｱﾊｧ	顔文字
あはぁ	Σ(ﾟд`*;)ｱｯ､ｱﾊｧ?	顔文字
あはぁ	Σ(*ﾟД`;)ｱ…ｱ…ｱｯﾊｧｧｧｧｧｧｧｧ?!!	顔文字
あはは	ｧ '`,､'`,､('∀`) '`,､'`,､	顔文字
あはは	( ﾟ∀ﾟ)ｱﾊﾊ八八ﾉヽﾉヽﾉヽﾉ ＼ / ＼/ ＼	顔文字
あひゃ	(ﾟ∀ﾟ)	顔文字
あひゃ	(ﾟ∀ﾟ)ｱﾋｬ	顔文字
あひゃ	ﾍ(ﾟ∀ﾟﾍ)ｱﾋｬ	顔文字
あひゃ	(　・∀・)ｱﾋｬ	顔文字
あひゃ	(゜∀。)ﾜﾋｬﾋｬﾋｬﾋｬﾋｬﾋｬ	顔文字
あひゃ	ｱｯﾋｬｯﾋｬ!ヽ(ﾟ∀ﾟ)ﾉｱｯﾋｬｯﾋｬ!	顔文字
あひゃ	ω_(ﾟ∀ﾟ )≡　ﾓﾋｮﾋｮﾋｮﾋｮ　ヽ(A`*)ﾉ≡　ｺﾗｧｧｧ!! ｶｴｾﾖー!!!!	顔文字
あぶねー	 ｱﾌﾞﾈ━━━━Σ(ﾟдﾟ；)━━━━!!	顔文字
あぼーん	ｱﾎﾞｰﾝ(´・ｪ・｀)	顔文字
あぼーん	αβοοη..._φ(ﾟ∀ﾟ )ｱﾋｬ	顔文字
あまー	(・∀・)ｱﾏｰ	顔文字
あやしい	ぁゃιぃ	顔文字
あらまぁ	(´・∀・｀ )ｱﾗﾏｧ	顔文字
あらまっ	Σ(ﾟДﾟ；)ｱﾗﾏｯ	顔文字
あらいやだ	( ﾟДﾟ)ｱﾗｲﾔﾀﾞ!!	顔文字
あらやだ	(ﾟДﾟ )ｱﾗﾔﾀﾞ!!	顔文字
あらやだ	(゜д゜)＜あらやだ!	顔文字
ありゃ	Σ(ﾟДﾟ υ) ｱﾘｬ	顔文字
ありがとう	(TдT)ｱﾘｶﾞﾄｳ	顔文字
ありがとう	ｱﾘｶﾞﾀﾏｷﾝ ( ´∀｀)ﾉ⌒ω)Д`)ﾌﾞﾆｭ	顔文字
ありがとう	あ(・∀・)り(・∀・)が(・∀・)と(・∀・)う！	顔文字
ありがとちゃーん	ｱﾘｶﾞﾄﾁｬ━━━━(　´∀｀)━━━━ﾝ!!!!	顔文字
ありがとん	ありが㌧	顔文字
あるぁ	 ヽ(冫、)ノ ｱﾙｧ!!	顔文字
あるぇー	(・３・)アルェー	顔文字
あわわ	(((( ;ﾟдﾟ))))ｱﾜﾜﾜﾜ	顔文字
あわわ	ｱﾜ((ﾟﾟддﾟﾟ ))ﾜﾜ!!	顔文字
あわわ	ｱﾜﾜ ヽ(´Д｀;≡;´Д｀)丿 ｱﾜﾜ	顔文字
あんたもねー	(　＾×＾)ｱﾝﾀﾓﾈｰ	顔文字
あんびりばーぼ	ヽ(illﾟдﾟ)ﾉ ｱﾝﾋﾞﾘﾊﾞｰﾎﾞ	顔文字
いっちゃいやーん	(*´д｀*)逝っちゃｲﾔｧ-ﾝ!!	顔文字
いってきまーす	ε=ε=ε=ヾ(´∀｀*)ﾉ ｲｯﾃｷﾏｰｽ	顔文字
いってよし	( ﾟДﾟ)ｲｯﾃﾖｽｨ	顔文字
いってよし	ｲｯﾃ( ﾟдﾟ)(ﾟдﾟ )ﾖｼ	顔文字
いってよし	〜⊂´⌒∠；ﾟДﾟ)ゝつ　ｲ､ｲｯﾃﾖｼ...	顔文字
いってよし	(　´∀｀)Ьｲｯﾃ……(　´∀｀)ｐ ﾖｼ!	顔文字
いってよち	( ・Д・)いってよち	顔文字
いってらー	┌( ﾟДﾟ)ﾉ ｲｯﾃﾗｰ	顔文字
いってらー	∬ ﾟ∀ﾟ)ノ 行ってらっしゃい	顔文字
いい	(・∀・)ｲｲ!!	顔文字
いい	（・∀・）ｲｲ!!	顔文字
いい	(　・∀・)ｲｲ!!	顔文字
いいこといった	(・∀・)ｲｲｺﾄｲｯﾀ!!	顔文字
いいね	(・∀・)ｲｲﾈ!!	顔文字
いいよー	(・∀・)ｲｲﾖｲｲﾖｰ	顔文字
いいんでねーの	(ﾟзﾟ)ｲｲﾝﾃﾞﾈｰﾉ?	顔文字
いえーい	v(￣Д￣)v ｲｴｰｲ	顔文字
いえーい	☆-(ノﾟДﾟ)八(ﾟДﾟ　)ノｲｴｰｲ	顔文字
いえーい	☆-ヽ(*´∀｀)八(´∀｀*)ノｲｴｰｲ	顔文字
いえーい	ｲｪ━━━━━ヽ( ﾟДﾟ)人(ﾟДﾟ )ﾉ━━━━━━ィ	顔文字
いかがなものか	| ﾟДﾟ| ノ　ｲｶｶﾞﾅﾓﾉｶ	顔文字
いかす	Σd(ﾟ∀ﾟd)ｲｶｽ!	顔文字
いきろ	ｼﾈ!!(・∀・∀・)ｲｷﾛ!!	顔文字
いきろ	つωT｀)ヾ (ﾟДﾟ )…ｲ㌔	顔文字
いぎあり	( ﾟДﾟ)_σ異議あり!!	顔文字
いくない	(・A・)ｲｸﾅｲ!!	顔文字
いくない	（・Ａ・）ｲｸﾅｲ!!	顔文字
いくない	ｲｲ(・∀・д・)ｸﾅｲ!	顔文字
いくない	ｲｲ!!（・∀・Ａ・）ｲｸﾅｲ!!	顔文字
いくない	ｲｸﾅ--(ﾟ∀ﾟ)-( ﾟ∀)-(  ﾟ)-(  )-(  )-(ﾟ  )-(Aﾟ )-(ﾟAﾟ)--ｲ!!!!!	顔文字
いじめ	( ・∀・ )ﾉ ｲｼﾞﾒｶｺﾜﾙｲ	顔文字
いた	Σ(ﾟДﾟ υ) ｲﾀ!!	顔文字
いちさん	(((　)))	顔文字
いねー	ｲﾈ━━━━(ﾟдﾟ；)━━━━!!	顔文字
いねー	ｲﾈ━━━━( ﾟÅﾟ；)━━━━!!?	顔文字
いまおきたよ	(;´ρ`)ｲﾏｵｷﾀﾖ	顔文字
いまのうち	ヽ(;´Д｀)ﾉ ﾗﾝﾀ ﾀﾝﾀﾝ♪	顔文字
いまのうち	|Д｀)･･ｲﾏﾉｳﾁ ♪	顔文字
いやぁ	(∀｀*)ゞｲﾔｧ	顔文字
いやー	( ；´Д｀)いやぁぁぁぁぁー!	顔文字
いやー	ヽ(´Д｀ヽ)(/´Д｀)/イヤァァァ〜	顔文字
いやーん	ｲﾔ━━━━(*´∀｀)━━━━ﾝ!!!!	顔文字
いやだわ	ｲﾔﾀﾞﾜｧ*･゜ﾟ･*:.｡..｡.:*･゜(n‘Д‘)ηﾟ･*:.｡. .｡.:*･゜ﾟ･* !!!!!	顔文字
いらっしゃい	(　´∀｀)ゞ ｲﾗｯｼｬｰｲ	顔文字
いらいら	(#ﾟДﾟ)y-~~ｲﾗｲﾗ	顔文字
いらね	(ﾟ⊿ﾟ)ｲﾗﾈ	顔文字
いらね	(｡A｡)⌒Y⌒ ヾ(　´_ゝ｀) ｲﾗﾈ	顔文字
いらねえよ	(　ﾟ∀ﾟω=====ヽ(´Д｀;)ｲﾗﾈｴﾖ!!	顔文字
いるね	(ﾟжﾟ)ｲﾙﾈ	顔文字
